Pod	FriendlyName	Catalog	BankIdentifier	Name
21	Texans Credit Union	AlkamiTexansCU	cc234eb4-4b72-4a3b-9e83-5e1d637dbd8d	Texans Credit Union
21.3	Liberty Bank	AlkamiLibertyBank	ecfacdef-f609-4429-ae2c-6da881999505	Liberty Bank
21.3	Owners Bank	AlkamiOwnersBank	3fa5e913-ade1-4268-82c6-2e660bbcff1b	Owners Bank
23	Soarion Credit Union	AlkamiAirForceFCU	ec1729ac-db4b-4272-b7b4-14e3cc5a6088	Soarion Digital Banking
23	Alabama Teachers Credit Union	AlkamiAlabamaTeachersCU	f1e3ae57-2ce9-4085-8ab9-b69b01974093	Emblem CU
23	Community Choice Credit Union	AlkamiCommChoiceCU	6eb52fb4-625c-444f-baea-59bef3a7c9e9	Community Choice
23	Communication Federal Credit Union	AlkamiCommfCU	ea02d3a8-a66d-4ced-85f4-e048f9c3e95c	Communication Federal Credit Union
23	Heritage Federal Credit Union	AlkamiHeritageFCU	b821440e-25ab-4b2d-9a74-21ab5b40998d	Heritage Federal Credit Union
23	Midcoast Federal Credit Union	AlkamiMidcoastFCU	3410c11c-1da7-4897-bc6d-45645a6c3dd8	Midcoast Federal Credit Union
23	Radiant Credit Union	AlkamiRadiantCU	b58785fd-de46-44f5-b97c-302b55cc83fd	Radiant Credit Union
23	Signal Financial Federal Credit Union	AlkamiSignalFinancialFCU	586bf998-f18f-4cf3-b2fe-80c1a06f3a1f	Signal Financial FCU
23	SRP Federal Credit Union	AlkamiSRPFCU	1379036c-3d67-442d-b155-5e1a7a76f4c8	SRP FCU
23	Teg Federal Credit Union	AlkamiTegFCU	184bb0a7-5300-4438-a5de-174ad898720b	TEG Federal Credit Union
23	Texas Tech Federal Credit Union	AlkamiTexasTechFCU	844aac0a-2f37-423b-8919-345b77ea1219	Texas Tech Credit Union
23	True Community Credit Union	AlkamiTrueCommCU	be303458-b4c4-42f6-b92c-27bd6942e581	TRUE Community Credit Union
23	Walden Mutual	AlkamiWaldenMutual	f5be9d11-5776-4af6-b304-f260a474ac54	Walden Mutual Bank
24	Aero Federal Credit Union	AlkamiAeroFCU	db58c2ef-470f-4126-b408-0514ebdfb370	AERO Financial
24	Arrowhead Central Credit Union	AlkamiArrowheadCentralCU	494109aa-6671-438f-b392-ab072e656a55	Arrowhead Credit Union
24	Del Norte Credit Union	AlkamiDelNorteCU	590ea83c-ac14-49a7-a002-d3bf8f9cd54b	Del Norte Credit Union
24	Downey Federal Credit Union	AlkamiDowneyFCU	67aed5aa-ee36-49cb-8dcc-ddb24fe2e302	DFCU
24	F&A Federal Credit Union	AlkamiFAFCU	9479f704-bb78-4757-a1f0-c73c3cf48add	F&A Credit Union
24	First Financial (New Mexico) Credit Union	AlkamiFFCUNM	faf24de8-901e-47d1-98ad-c38ef26f5a56	First Financial Credit Union
24	First Entertainment Credit Union	Alkamifirstentertainmentcu	9aa06cd4-0409-4e4b-9186-e0112af2aff2	First Entertainment
24	First U.S. Community Credit Union	AlkamiFirstUSCommCU	4bb1aa6c-b2ca-4161-a2d3-d4e7fe12a43b	First U.S. Community Credit Union
24	LA Financial Federal Credit Union	AlkamiLAFinancialFCU	ad322d5d-3d6a-46f8-9589-18fdd0989035	LA Financial Credit Union
24	Meridian Trust Federal Credit Union	AlkamiMeridianTrustFCU	005de753-3d23-46bc-95b8-82f1524728d9	Meridian Trust Federal Credit Union
24	Premier Members	AlkamiPremierMembersCU	3cb2f31b-f80e-4009-854c-cddc945f2708	Premier Members CU
